[23:11:33] [BACKEND] >>> Starting Backend Server with PID 1424 (access at port 8000)...
[23:11:33] [BACKEND] INFO:     Will watch for changes in these directories: ['D:\\Website\\DIGIFORTLABS\\backend']
[23:11:34] [FRONTEND] >>> Starting Frontend Server with PID 16104 (access at port 3000)...
[23:11:35] [SSH] >>> Starting SSH Database Tunnel with PID 15400 to 15.206.86.130...
[23:11:36] [FRONTEND] ▲ Next.js 16.1.6 (Turbopack)
[23:11:36] [FRONTEND] - Local:         http://localhost:3000
[23:11:36] [FRONTEND] - Network:       http://0.0.0.0:3000
[23:11:36] [FRONTEND] ✓ Starting...
[23:11:37] [FRONTEND] ⚠ The "middleware" file convention is deprecated. Please use "proxy" instead. Learn more: https://nextjs.org/docs/messages/middleware-to-proxy
[23:11:37] [FRONTEND] ✓ Ready in 1976ms
[23:11:40] [BACKEND] INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
[23:11:40] [BACKEND] INFO:     Started reloader process [6972] using StatReload
[23:11:41] [FRONTEND]  GET /login 200 in 3.0s (compile: 2.3s, proxy.ts: 120ms, render: 537ms)
[23:11:41] [FRONTEND]  GET /login 200 in 364ms (compile: 112ms, proxy.ts: 23ms, render: 230ms)
[23:11:48] [BACKEND] INFO:     Started server process [2116]
[23:11:48] [BACKEND] INFO:     Waiting for application startup.
[23:11:49] [BACKEND] INFO:     Application startup complete.
[23:13:24] [FRONTEND] Error: Both middleware file "./src\middleware.ts" and proxy file "./src\proxy.ts" are detected. Please use "./src\proxy.ts" only. Learn more: https://nextjs.org/docs/messages/middleware-to-proxy
[23:13:24] [FRONTEND]     at ignore-listed frames
[23:13:24] [FRONTEND] ⨯ unhandledRejection: Error: Both middleware file "./src\middleware.ts" and proxy file "./src\proxy.ts" are detected. Please use "./src\proxy.ts" only. Learn more: https://nextjs.org/docs/messages/middleware-to-proxy
[23:13:24] [FRONTEND]     at ignore-listed frames
[23:13:24] [FRONTEND] ⨯ unhandledRejection:  Error: Both middleware file "./src\middleware.ts" and proxy file "./src\proxy.ts" are detected. Please use "./src\proxy.ts" only. Learn more: https://nextjs.org/docs/messages/middleware-to-proxy
[23:13:24] [FRONTEND]     at ignore-listed frames
[23:13:30] [FRONTEND] ✓ Compiled in 638ms
[23:13:30] [FRONTEND]  GET /login 200 in 205ms (compile: 45ms, proxy.ts: 77ms, render: 83ms)
[23:13:30] [FRONTEND]  GET /login 200 in 199ms (compile: 51ms, proxy.ts: 107ms, render: 41ms)
[23:13:30] [FRONTEND]  GET /login 200 in 219ms (compile: 10ms, proxy.ts: 17ms, render: 192ms)
[23:13:30] [FRONTEND]  GET /login 200 in 216ms (compile: 41ms, proxy.ts: 14ms, render: 160ms)
[23:13:30] [FRONTEND]  GET /login 200 in 227ms (compile: 10ms, proxy.ts: 17ms, render: 200ms)
[23:13:30] [FRONTEND]  GET /login 200 in 228ms (compile: 40ms, proxy.ts: 16ms, render: 171ms)
[23:13:31] [FRONTEND]  GET /login 200 in 217ms (compile: 13ms, proxy.ts: 16ms, render: 188ms)
[23:13:31] [FRONTEND]  GET /login 200 in 212ms (compile: 44ms, proxy.ts: 15ms, render: 153ms)
[23:13:31] [FRONTEND]  GET /login 200 in 227ms (compile: 10ms, proxy.ts: 18ms, render: 199ms)
[23:13:31] [FRONTEND]  GET /login 200 in 229ms (compile: 38ms, proxy.ts: 18ms, render: 173ms)
[23:13:31] [FRONTEND]  GET /login 200 in 247ms (compile: 16ms, proxy.ts: 15ms, render: 216ms)
[23:13:31] [FRONTEND]  GET /login 200 in 252ms (compile: 52ms, proxy.ts: 15ms, render: 185ms)
[23:13:31] [FRONTEND]  GET /login 200 in 246ms (compile: 15ms, proxy.ts: 18ms, render: 213ms)
[23:13:31] [FRONTEND]  GET /login 200 in 252ms (compile: 49ms, proxy.ts: 18ms, render: 185ms)
[23:13:31] [FRONTEND]  GET /login 200 in 153ms (compile: 18ms, proxy.ts: 18ms, render: 116ms)
[23:13:31] [FRONTEND]  GET /login 200 in 158ms (compile: 54ms, proxy.ts: 18ms, render: 86ms)
[23:13:31] [FRONTEND]  GET /login 200 in 380ms (compile: 33ms, proxy.ts: 18ms, render: 328ms)
[23:13:31] [FRONTEND]  GET /login 200 in 387ms (compile: 72ms, proxy.ts: 18ms, render: 297ms)
[23:13:31] [FRONTEND]  GET /login 200 in 361ms (compile: 9ms, proxy.ts: 14ms, render: 337ms)
[23:13:31] [FRONTEND]  GET /login 200 in 360ms (compile: 37ms, proxy.ts: 14ms, render: 309ms)
[23:13:32] [FRONTEND]  GET /login 200 in 385ms (compile: 41ms, proxy.ts: 15ms, render: 329ms)
[23:13:32] [FRONTEND]  GET /login 200 in 393ms (compile: 10ms, proxy.ts: 15ms, render: 369ms)
[23:13:32] [FRONTEND]  GET /login 200 in 392ms (compile: 14ms, proxy.ts: 32ms, render: 347ms)
[23:13:32] [FRONTEND]  GET /login 200 in 392ms (compile: 46ms, proxy.ts: 31ms, render: 315ms)
[23:13:32] [FRONTEND]  GET /login 200 in 352ms (compile: 18ms, proxy.ts: 14ms, render: 320ms)
[23:13:32] [FRONTEND]  GET /login 200 in 351ms (compile: 45ms, proxy.ts: 14ms, render: 292ms)
[23:13:32] [FRONTEND]  GET /login 200 in 385ms (compile: 32ms, proxy.ts: 23ms, render: 330ms)
[23:13:32] [FRONTEND]  GET /login 200 in 392ms (compile: 68ms, proxy.ts: 22ms, render: 301ms)
[23:13:32] [FRONTEND]  GET /login 200 in 400ms (compile: 11ms, proxy.ts: 19ms, render: 370ms)
[23:13:32] [FRONTEND]  GET /login 200 in 410ms (compile: 47ms, proxy.ts: 18ms, render: 344ms)
